ID,שם הספר,מחבר,סדרה,כרך בסדרה,חלק,סך כרכים בסדרה,סיווג,הערות,הושאל,
140,עורבני חקיין,קולינס סוזן,משחקי הרעב,3,,3,פוסט אפוקליפסה,,,
141,בלדה לנחשים וציפורי שיר,קולינס סוזן,משחקי הרעב,,,,פוסט אפוקליפסה,,,
142,מפוצלים,רות' ורוניקה,מפוצלים,1,,3,פוסט אפוקליפסה,,,
143,מורדים,רות' ורוניקה,מפוצלים,2,,3,פוסט אפוקליפסה,,,
144,נאמנים,רות' ורוניקה,מפוצלים,3,,3,פוסט אפוקליפסה,,,
145,מדריך הטרמפיסט לגלקסיה,אדמס דאגלס,מדריך הטרמפיסט לגלקסיה,1,,5,מדע בדיוני,,,
146,המסעדה שבסוף היקום,אדמס דאגלס,מדריך הטרמפיסט לגלקסיה,2,,5,מדע בדיוני,,,
147,"החיים, היקום וכל השאר ",אדמס דאגלס,מדריך הטרמפיסט לגלקסיה,3,,5,מדע בדיוני,,,
148,מחר כפול תשע,אסימוב אייזיק,,,,,מדע בדיוני,,,
149,רסיסים של כבוד,בוז'ולד לויס מקמסטר,וור,1,,5,מדע בדיוני,בסדרה יש עוד ספרים שלא תורגמו,,
150,בריאר,בוז'ולד לויס מקמסטר,וור,2,,5,מדע בדיוני,בסדרה יש עוד ספרים שלא תורגמו,,
151,שוליית הלוחם,בוז'ולד לויס מקמסטר,וור,3,,5,מדע בדיוני,בסדרה יש עוד ספרים שלא תורגמו,,
152,משחקי אצולה,בוז'ולד לויס מקמסטר,וור,4,,5,מדע בדיוני,בסדרה יש עוד ספרים שלא תורגמו,,
153,סיטגנדה,בוז'ולד לויס מקמסטר,וור,5,,5,מדע בדיוני,בסדרה יש עוד ספרים שלא תורגמו,,
154,Mirror Dance,בוז'ולד לויס מקמסטר,וור,,,,מדע בדיוני,,,
155,Brothers in arms,בוז'ולד לויס מקמסטר,וור,,,,מדע בדיוני,,,
156,לוחמי החלל,היינליין רוברט,,,,,מדע בדיוני,,,
157,איש של שני עולמות,"הרברט פרנק, הרברט בראיין",,,,,מדע בדיוני,,,
158,ילד מלחמה,לוואצ'י קארין,,1,,2,מדע בדיוני,בסדרה יש עוד ספרים שלא תורגמו,,
159,צלילת אש,לוואצ'י קארין,,2,,2,מדע בדיוני,בסדרה יש עוד ספרים שלא תורגמו,,
160,יומני כוכבים,לם סטניסלב,,,,,מדע בדיוני,,,
161,פטיש השטן,"ניבן לארי, פורנל ג'רי",,,,,מדע בדיוני,,,
162,כוכב הצוענים,סילברברג רוברט,,,,,מדע בדיוני,,,
163,תחנת דרכים,סימאק קליפורד ד.,,,,,מדע בדיוני,,,
164,המשחק של אנדר,קארד אורסון סקוט,המשחק של אנדר,1,,4,מדע בדיוני,,,
165,ילדי המחשבה,קארד אורסון סקוט,המשחק של אנדר,4,,4,מדע בדיוני,,,
166,אנדר בגלות,קארד אורסון סקוט,המשחק של אנדר,1.5,,,מדע בדיוני,,,
167,הצל של אנדר,קארד אורסון סקוט,הצל של אנדר,1,,6,מדע בדיוני,,,
168,הצל של ההגמון,קארד אורסון סקוט,הצל של אנדר,2,,6,מדע בדיוני,,,
169,בובת צללים,קארד אורסון סקוט,הצל של אנדר,3,,6,מדע בדיוני,,,
170,הצל של הענק,קארד אורסון סקוט,הצל של אנדר,4,,6,מדע בדיוני,,,
171,מעוף הצללים,קארד אורסון סקוט,הצל של אנדר,5,,6,מדע בדיוני,,,
172,הצל האחרון ,קארד אורסון סקוט,הצל של אנדר,6,,6,מדע בדיוני,,,
173,עלייתו של מספר תשע,לור פיטקוס,בני לוריאן,3,,7,מדע בדיוני,,,
174,נקמתה של מספר שבע,לור פיטקוס,בני לוריאן,5,,7,מדע בדיוני,,,
175,הסיפורים המתוחכמים ביותר בעולם,אוסף,,,,,מתח,,,
176,הסיפורים המפתיעים ביותר בעולם,אוסף,,,,,מתח,,,
177,הסיפורים המפורסמים ביותר בעולם,אוסף,,,,,מתח,,,
178,יותר מוזר מהדמיון,אוסף,,,,,מתח,,,
179,רק המעז,ארצ'ר ג'פרי,ויליאם ווריק,1,,6,מתח,,,
180,נקודת ההונאה,בראון דן,,,,,מתח,,,
181,משחק המושבעים,גרישם ג'ון,,,,,מתח,,,
182,הזימון,גרישם ג'ון,,,,,מתח,,,
183,הפירמה,גרישם ג'ון,,,,,מתח,,,
184,15 סיפורי מופת,כריסטי אגאטה,,,,,מתח,,,
185,התיקנים,נסבו יו,הבלש הארי הולה,2,,11,מתח,,,
186,הארגון,פולסום אלן,,,,,מתח,,,
187,מירוץ מוטרף,קובן הרלן,,,,,מתח,,,
188,אבק שריפה,קובן הרלן,,,,,מתח,,,
189,אל תגלה,קובן הרלן,,,,,מתח,,,
190,הנעלמים,קובן הרלן,,,,,מתח,,,
191,הטעות כולה שלך,קובן הרלן,,,,,מתח,,,
192,דוקטור סליפ,קינג סטיבן,,,,,מתח,אימה,,
193,דברים שצריך,קינג סטיבן,,,,,מתח,אימה,,
194,העמדה,קינג סטיבן,,,,,מתח,אימה,,
195,רוז מאדר,קינג סטיבן,,,,,מתח,אימה,,
196,לוכד החלומות,קינג סטיבן,,,,,מתח,אימה,,
197,הילדה שאהבה את טום גורדון,קינג סטיבן,,,,,מתח,אימה,,
198,סלולרי,קינג סטיבן,,,,,מתח,אימה,,
199,זאבי הקאלה,קינג סטיבן,המגדל האפל,3,,7,מתח,אימה,,
200,המכשף והבדולח,קינג סטיבן,המגדל האפל,4,,7,מתח,אימה,,
201,עונות מתחלפות,קינג סטיבן,,,,,מתח,אימה,,
202,סופו של מיסטר Y,תומס סקרלט,,,,,מתח,שייך למיכל הרבסטמן,,
203,חרשתא,קגן יהודית ,,,,,רומן,,,
204,וידוי,ברנדס יוכי,,,,,רומן,,נורית כהן,6/22/2018
205,גרעינים לבנים,ברנדס יוכי,,,,,רומן,,,
206,מלכוד 22,הלר ג'וזף,,,,,רומן,,,
207,1984,אורוול ג'ורג',,,,,רומן,,אייל אורנשטיין,2022
208,תולדות האהבה,קראוס ניקול,,,,,רומן,,נורית כהן,6/22/2018
209,תיאום כוונות,סבתו חיים,,,,,רומן,,,
210,אשה בורחת מבשורה,גרוסמן דוד,,,,,רומן,,,
211,אל תזוזי,מצאנטיני מרגרט,,,,,רומן,,,
212,אשתו של הנוסע בזמן,ניפנגר אודרי,,,,,רומן,,,
213,ציפורים מתות בסתר,מקאלוג קולין,,,,,רומן,,,
214,בית קרנובסקי,זינגר יצחק ,,,,,רומן,,,
215,גבעת ווטרשיפ,אדמס ריצ'רד,,,,,רומן,,,
216,"תש""ח",קניוק יורם,,,,,רומן,,,
217,כרת,משאלי יעל,,,,,רומן,,,
218,גיא אוני,לפיד שולמית,,,,,רומן,,,
219,האשה השניה,לפיד יאיר,,,,,רומן,,,
220,האי של סופייה,היסלופ ויקטוריה,,,,,רומן,,,
221,כמעט כלה,גרינברג יהושע,,,,,רומן,,,
222,ארבעה בתים וגעגוע,נבו אשכול,,,,,רומן,,,
223,אהבתי כל כך,רותם יהודית,,,,,רומן,,,
224,יונה ונער,שלו מאיר,,,,,רומן,,,
225,1Q84,מורקמי הרוקי,,1 + 2,,3,רומן,,,
226,רחמים,שלו מיכל,,,,,רומן,,,
227,אחות קטנה,אורן רם,,,,,רומן,,,
228,היורשת,אורן רם,,,,,רומן,,,
229,ימים אדומים,אורן רם,,,,,רומן,,,
230,מישהו לרוץ איתו,גרוסמן דוד,,,,,רומן,,,
231,תחלמי,שכטר-פייל עידית,,,,,רומן,,,
232,הבתולה בכחול,שבלייה טרייסי,,,,,רומן,,,
233,זאבים בשלג,קראוס-ויינר אורלי,,,,,רומן,,,
234,נכים פראיים ששבו הביתה מארצות החום,רובינס טום,,,,,רומן,,,
235,פנמה ג'ק,גפן אדיבה,,,,,רומן,,,
236,אין לי מושג איך היא עושה את זה,פירסון אליסון,,,,,רומן,,,
237,השעון,צטניק ק.,,,,,רומן,שואה,,
238,בעל זבוב,גולדינג ויליאם,,,,,רומן,,,
239,הזקן בן מאה שיצא מהחלון ונעלם,יונסון יונס,,,,,רומן,,,
240,הגלויה,"ברסט, אן",,,,,רומן,,,
241,אורי,שטרייט-וורצל אסתר,,,,,ילדים,,,
242,הכתה המעופפת,קסטנר אריך,,,,,ילדים,,,
243,תעלומת כתב הסתרים,נצר אלי,,,,,ילדים,,,
244,שוקי בקבוקי,פוצ'ו,,,,,ילדים,,,
245,אי המטמון,סטיבנסון רוברט לואיס,,,,,ילדים,,,
246,מלחמת הדוכנועים,מריל ג'ין,,,,,ילדים,,,
247,דוקטור דוליטל המלך,לופטינג יו,,,,,ילדים,,,
248,להיות רב חובל,בוז'נקו אנטולי,,,,,ילדים,,,
249,חמישה ילדים והזהו,נסביט אדית,,,,,ילדים,,,
250,סיירת הבטיחות בדרכים,רון-פדר גלילה,ג'ינג'י,28,,64,ילדים,,,
251,הרפתקאות דוד אריה בערבות רומניה,לוי ינץ,דוד אריה,1,,6,ילדים,,,
252,הרפתקאות דוד אריה בג'ונגל הסיבירי,לוי ינץ,דוד אריה,2,,6,ילדים,,,
253,הרפתקאות דוד אריה במדבר השויצרי,לוי ינץ,דוד אריה,3,,6,ילדים,,,
254,הרפתקאות דוד אריה בקוטב המערבי,לוי ינץ,דוד אריה,4,,6,ילדים,,,
255,הרפתקאות דוד אריה ביערות סהרה,לוי ינץ,דוד אריה,5,,6,ילדים,,,
256,דנידין משגע את סאדאם,שריג און,דנידין,22,,29,ילדים,,,
257,עוזר למשטרה,סובול דונלד,דני ידעני,8,,8,ילדים,,,
258,כה עשו חכמינו,סגל רבקה,כה עשו חכמינו,4,,5,ילדים,,,
259,כה עשו חכמינו,סגל רבקה,כה עשו חכמינו,3,,5,ילדים,,,
260,כה עשו חכמינו,סגל רבקה,כה עשו חכמינו,2,,5,ילדים,,,
261,האפלוליות,ארבליך-בריפמן אשבל,,,,,ילדים,,,
262,נצחון בכל מחיר,נאהרגנג פראוקה,הכדורגלנים,9,,12,ילדים,,,
263,קוראים לי סטילטון ג'רונימו סטילטון,סטילטון ג'רונימו,סטילטון ג'רונימו,1,,11,ילדים,,,
264,מסתורי האוצר הנעלם,סטילטון ג'רונימו,סטילטון ג'רונימו,2,,11,ילדים,,,
265,מסתורי עין האיזמרגד,סטילטון ג'רונימו,סטילטון ג'רונימו,3,,11,ילדים,,,
266,כתב-היד המסתורי של נוסטרכבורס,סטילטון ג'רונימו,סטילטון ג'רונימו,7,,11,ילדים,,,
267,האהבה היא כמו גבינה,סטילטון ג'רונימו,סטילטון ג'רונימו,8,,11,ילדים,,,
268,המרתון הכי מטורף בעולם,סטילטון ג'רונימו,סטילטון ג'רונימו,10,,11,ילדים,,,
269,קר נורא בהימלאיה!,סטילטון ג'רונימו,סטילטון ג'רונימו,11,,11,ילדים,,,
270,ההבטחה - ספר ראשון,"יאנג, ג'ין לואן",אווטאר - ההבטחה,1,,3,ילדים,,,
271,ההבטחה - ספר שני,"יאנג, ג'ין לואן",אווטאר - ההבטחה,2,,3,ילדים,,,
272,ההבטחה - ספר שלישי,"יאנג, ג'ין לואן",אווטאר - ההבטחה,3,,3,ילדים,,,
273,החיפוש - ספר ראשון,"יאנג, ג'ין לואן",אווטאר - החיפוש,1,,3,ילדים,,,
274,החיפוש - ספר שני,"יאנג, ג'ין לואן",אווטאר - החיפוש,2,,3,ילדים,,,
275,החיפוש - ספר שלישי,"יאנג, ג'ין לואן",אווטאר - החיפוש,3,,3,ילדים,,,
276,הקרע - ספר ראשון,"יאנג, ג'ין לואן",אווטאר - הקרע,1,,3,ילדים,,,
277,הקרע - ספר שני,"יאנג, ג'ין לואן",אווטאר - הקרע,2,,3,ילדים,,,
278,הקרע - ספר שלישי,"יאנג, ג'ין לואן",אווטאר - הקרע,3,,3,ילדים,,,
279,מכוניות 2 - ספר הסרט,,,,,,ילדים,,,
280,צעצוע של סיפור 3 - ספר הסרט,,,,,,ילדים,,,
281,הרקולס - ספר הסרט,,,,,,ילדים,,,
282,תקווה חדשה - מלחמת הכוכבים פרק 4 - ספר הסרט,,,,,,ילדים,,,
283,בעקבות חרב היהלום,,מיינקראפט,1,,5,ילדים,,,
284,תעלומת הגריפר וסימני הצמר,,מיינקראפט,2,,5,ילדים,,,
285,מבצע חומה ומגדל,רון-פדר גלילה,מנהרת הזמן,2,,72,ילדים,,,
286,מעפילים מגיעים לחופי הארץ,רון-פדר גלילה,מנהרת הזמן,4,,72,ילדים,,,
287,איחוד ירושלים,רון-פדר גלילה,מנהרת הזמן,5,,72,ילדים,,,
288,אדום אדום זה לא חלום,שיר סמדר,קסדת הקסם,1,,4,ילדים,,,
289,כשיש קסם - אין חרם,שיר סמדר,קסדת הקסם,2,,4,ילדים,,,
290,אמא קסומה וקסמי המצנפת הסגולה,אלבוים אתי,אמא קסומה,1,,5,ילדים,,,
291,אשתופת,בליד אדם,השרביט והחרב,1,,10,ילדים,,,
292,חתול תעלול,"ד""ר סוס",,,,,ילדים,,,
293,חתול תעלול חוזר,"ד""ר סוס",,,,,ילדים,,,
294,נסים ונפלאות,גולדברג לאה,,,,,ילדים,,,
295,יומנו של יורמיוס מקסימוס במצרים,קולינס טים,יורמיוס מקסימוס,2,,3,ילדים,,,
296,פיניאס ופרב - היי איפה פרי?,,פיניאס ופרב,,,,ילדים,,,
